"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Arizona State University-West",,19,19,20,21,21,21,20,,,,,18,18
"Arizona State University-Polytechnic",,21,21,21,22,21,22,22,,,,,19,19
"Arizona State University-Downtown Phoenix",,20,20,21,21,21,21,21,,,,,18,18
"Anderson University",,20,20,21,21,21,20,21,20,20,18,18,18,18
"Ancilla College",,14,15,,,,,,,,,,,
"Alvernia University",,18,17,18,19,19,17,18,18,18,17,17,17,16
"Alma College",,20,20,20,21,21,21,22,21,22,21,21,21,21
"Albertus Magnus College",,15,15,,,,,,,,,,20,
"Art Academy of Cincinnati",,12,17,16,17,18,18,19,18,19,18,18,18,19
"MacMurray College",,17,18,18,18,17,18,19,18,,17,17,16,17
"Bluefield University",,16,16,16,17,17,16,16,16,16,17,17,17,16
"Brewton-Parker College",,16,15,14,,,,17,16,14,15,16,15,16
"Creighton University",,23,24,25,24,24,24,24,24,24,24,24,24,23
"Concordia University-Portland",,17,18,18,18,19,19,18,19,18,18,19,19,18
"Columbus College of Art and Design",,18,,,,,19,19,19,19,18,19,18,18
"Colorado Mesa University",,18,18,18,18,17,18,18,17,18,18,17,17,18
"Cleary University",,18,18,17,19,18,19,18,19,,,,,
"Clarkson College",,19,18,21,21,21,18,22,20,20,19,20,21,21
"Clarion University of Pennsylvania",,17,18,18,17,17,16,,,,,,,
"Christopher Newport University",,22,23,,23,23,23,23,21,22,22,21,22,22
"Bluffton University",,18,18,18,19,18,19,19,19,19,19,19,20,20
"Champlain College",,24,22,23,22,23,23,22,21,20,21,20,20,20
"Carolinas College of Health Sciences",,21,,,,,20,,,,,,,
"Carolina University",,16,16,15,15,,,,,,,,,
"Capitol Technology University",,19,17,19,19,17,17,15,21,19,,12,,
"Capital University",,20,21,22,22,22,21,21,21,21,21,21,21,21
"Calvary University",,19,20,19,20,19,19,18,18,18,19,19,20,18
"Cairn University-Langhorne",,19,18,17,20,18,18,18,17,20,19,19,16,19
"Buena Vista University",,19,19,19,19,19,20,20,20,20,18,19,19,19
"Bryan College of Health Sciences",,19,20,20,21,22,21,22,22,22,20,21,19,
"Central State University",,14,14,15,15,14,15,15,14,14,14,15,,
"Manhattan College",,23,23,23,23,22,22,23,,,21,22,23,22
"Manor College",,15,14,14,,14,13,12,15,14,15,,,
"Marian University",,18,20,19,19,20,20,19,19,19,19,19,19,19
"University of California-Los Angeles",,29,30,29,28,28,27,25,25,25,24,24,24,24
"Trinity College",,29,29,28,,,,25,26,26,26,26,26,27
"Toccoa Falls College",,16,19,18,18,18,18,17,19,18,16,19,18,18
"Thomas More University",,19,19,19,20,20,19,20,20,20,20,19,20,18
"The College of Wooster",,24,25,24,24,25,25,25,25,24,24,23,23,23
"Taylor University",,22,22,22,22,24,24,24,25,23,24,23,23,23
"Syracuse University",,26,25,25,25,24,24,23,23,23,23,23,24,24
"SUNY College of Technology at Delhi",,20,17,,,,,,,,,,,
"University of Colorado Colorado Springs",,21,20,21,20,21,21,21,21,20,21,21,20,20
"SUNY College of Technology at Alfred",,18,19,19,19,18,19,21,22,18,18,18,18,18
"Westwood College-Dallas",,,,,,,,,,,,,,7
"St. Joseph's College-Long Island",,21,21,22,,,,,,,22,,19,19
"St. John's College",,26,24,23,,,,,,,,,,
"St. John's College",,26,24,26,27,,28,,,25,,,,
"St. Andrews University",,15,13,16,16,17,,18,,,,,,
"Spartanburg Methodist College",,15,15,15,16,16,16,15,15,16,15,15,16,15
"Southwestern Christian University",,16,16,16,17,17,17,17,17,17,17,15,15,16
"Southern Connecticut State University",,16,18,18,18,18,17,17,17,17,,,,
"SUNY Buffalo State",,19,,,17,16,21,,18,,,,,19
"Shepherd University",,19,19,19,19,19,19,19,19,19,19,19,19,19
"University of Evansville",,23,22,22,23,23,23,23,23,23,22,22,22,22
"University of Houston-Victoria",,16,,,,,,16,17,18,,,,
"William Jessup University",,18,19,21,19,18,19,20,20,19,20,19,21,19
"Whittier College",,20,20,21,20,20,20,20,20,20,19,21,20,21
"Westminster College",,19,20,20,20,20,19,20,21,22,20,20,20,20
"Wells College",,18,21,,19,21,22,21,21,20,21,21,22,20
"Watkins College of Art Design & Film",,19,18,19,19,18,20,18,18,19,19,22,21,25
"Washington Adventist University",,15,14,15,14,14,15,,16,,,,15,14
"University of St Thomas",,20,22,21,21,22,22,23,23,24,23,21,21,23
"University of South Florida-St Petersburg",,24,23,22,22,22,24,21,21,21,21,,,
"University of Houston-Downtown",,16,17,17,17,16,16,16,,,,,,
"University of South Florida-Sarasota-Manatee",,25,24,22,21,22,21,22,,,,,,
"University of San Diego",,26,25,26,26,26,26,25,25,26,25,24,24,23
"University of Northwestern-St Paul",,21,21,21,21,21,21,22,21,21,21,21,21,21
"University of North Alabama",,20,20,19,19,19,19,19,18,18,18,18,18,18
"University of New England",,21,20,21,21,20,21,21,21,21,21,21,21,
"University of Mobile",,20,18,20,19,19,20,20,20,20,19,20,20,19
"University of Maine at Fort Kent",,17,16,17,16,15,16,18,17,,,,,
"University of Maine",,21,22,22,21,21,21,21,21,21,21,20,20,20
"University of Lynchburg",,18,,19,19,19,19,19,18,19,18,18,18,18
"University of Sioux Falls",,20,20,20,20,20,19,20,20,21,20,20,19,19
"Carrington College-Sacramento",,,,,,,,,,,,,,
"Savannah College of Art and Design",,21,21,21,21,20,21,21,21,21,20,21,21,20
"Saint Peter's University",,17,17,17,16,16,16,16,17,17,17,16,17,15
"Nebraska Christian College of Hope International University",,17,16,17,3,,,,,,,,,
"Muskingum University",,18,19,19,19,18,19,18,19,19,19,19,19,19
"Mount Mercy University",,18,19,19,18,19,19,20,20,20,20,20,20,20
"Morningside University",,19,20,20,20,20,21,20,19,21,20,20,20,20
"Morehouse College",,18,20,18,19,18,19,18,19,19,18,18,19,20
"Morehead State University",,20,20,20,20,20,19,19,19,19,19,18,17,17
"Moore College of Art and Design",,23,22,,,,,18,17,16,19,18,17,17
"Moody Bible Institute",,18,,,,,,,21,20,21,,,
"New England Institute of Technology",,16,,,,,,,,,,,,
"Montana Bible College",,19,,,,22,23,16,20,,,,,
"Minneapolis College of Art and Design",,20,19,20,20,21,21,20,20,21,20,21,21,20
"Midwestern Baptist Theological Seminary",,20,19,20,19,17,18,19,19,19,16,18,,
"Middle Georgia State University",,16,16,15,,15,,,,,,,,
"Methodist College",,18,16,15,19,20,17,21,19,19,,,,
"McPherson College",,19,19,20,19,15,18,19,19,18,19,19,20,19
"Maryville University of Saint Louis",,20,20,21,22,23,23,23,23,23,22,22,22,21
"Maryland Institute College of Art",,24,22,24,22,,,,,,,,,
"Mars Hill University",,18,16,17,17,17,17,17,17,17,,,16,
"Misericordia University",,22,23,22,22,22,21,20,22,22,20,21,19,20
"Salem State University",,19,20,19,19,,19,19,,,15,19,,
"New Mexico Military Institute",,17,16,16,16,16,17,17,18,17,18,17,17,22
"Northern Illinois University",,19,19,19,19,19,19,19,19,19,19,19,20,20
"Saint Mary's University of Minnesota",,20,20,20,20,19,20,20,19,20,19,20,19,19
"Saint Elizabeth University",,16,,,17,,,,,,,,,
"Saint Edward's University",,22,22,22,22,23,22,22,22,22,22,21,21,21
"Reed College",,30,30,30,29,29,29,28,28,29,29,29,28,28
"Radford University-Carilion",,16,17,19,,,,20,18,17,17,18,18,17
"Providence Christian College",,19,19,2,,,,,,,22,,,
"Pomona College",,32,31,30,31,30,31,31,29,31,31,30,29,29
"Pittsburg State University",,19,18,19,19,,19,19,19,19,19,19,18,19
"Newman University",,18,20,19,20,20,20,20,22,21,19,20,19,19
"Pennsylvania State University-Main Campus",,23,25,25,25,25,25,25,25,25,24,24,23,23
"Ozark Christian College",,19,20,19,19,,,,,,,,,
"Otis College of Art and Design",,23,20,,,19,18,19,21,21,20,21,17,19
"Ohio Dominican University",,19,19,19,19,19,19,20,20,19,19,19,19,19
"Oakwood University",,16,16,17,16,17,17,17,17,16,16,16,16,16
"Notre Dame of Maryland University",,17,22,17,21,23,21,20,19,19,18,19,18,
"Notre Dame de Namur University",,17,17,15,17,16,17,18,18,18,16,17,17,18
"Notre Dame College",,16,17,17,18,17,18,18,18,18,17,17,17,18
"Northern Michigan University",,20,20,20,19,19,19,19,19,19,19,19,19,20
"Pacific Lutheran University",,24,20,21,22,22,22,22,21,21,23,22,22,21
"National Latino Education Institute",,,,,,,,,,,,,,
"Carrington College-San Jose",,,,,,,,,,,,,,
"Carrington College-Spokane",,,,,,,,,,,,,,
"Joe Kubert School of Cartoon and Graphic Art",,,,,,,,,,,,,,
"JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging",,,,,,,,,,,,,,
"JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools",,,,,,,,,,,,,,
"Jersey College",,,,,,,,,,,,,,
"Jefferson Lewis BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Jefferson County Dubois Area Vocational Technical Practical Nursing Program",,,,,,,,,,,,,,
"Jefferson (Philadelphia University + Thomas Jefferson University)",,,,21,20,21,20,21,20,22,21,22,21,
"Jamestown Business College",,,,,,,,,,,,,,
"IYRS School of Technology & Trades",,,,,,,,,,,,,,
"Ithaca College",,,,,,,,,23,23,23,23,23,22
"Isabella Graham Hart School of Practical Nursing",,,,,,,,,,,,,,
"International Culinary Arts and Sciences Institute",,,,,,,,,,,,,,
"International Business College-Indianapolis",,,,,,,,,,,,,,
"International Business College-Fort Wayne",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-San German",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-Ponce",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-Metro",,,,,,,,,,,,,,
"Joffrey Ballet School",,,,,,,,,,,,,,
"John Wesley University",,,,17,15,17,,,,,,,,
"Johnson & Wales University-Charlotte",,,,,,,,,,,,,,
"Johnson & Wales University-Denver",,,,,,,,,,,,,,
"Laguna College of Art and Design",,,,,,,,,,,,,,
"Laboure College",,,,,,,,,,,,,,
"La Salle University",,,,,19,18,18,19,19,19,18,19,,20
"Kirksville Area Technical Center",,,,,,,,,22,,,,,
"King's College",,,,,,,,,,,,,,
"King's College",,,,,,,,,,,,,,
"Key College",,,,,,,,,,,,,,
"Keuka College",,,,19,18,,,,,,,,,17
"Inter American University of Puerto Rico-Guayama",,,,,,,,,,,,,,
"Kenrick Glennon Seminary",,,,,,,,,,,,,,
"KD Conservatory College of Film and Dramatic Arts",,,,,,,,,,,,,,
"Kansas State University",,,,,,,,,,,,21,20,20
"Kansas City Art Institute",,,,20,21,20,20,20,,20,,,20,20
"Juniata College",,,,,,,,,23,23,24,,,
"Johnson College",,,,,,,,14,,,,,,
"Johnson & Wales University-Providence",,,,,,,,,,,,,,
"Johnson & Wales University-Online",,,,,,,,,,,,,,
"Johnson & Wales University-North Miami",,,,,,,,,,,,,,
"Kendall College",,,,,,,,,,,,,18,18
"Inter American University of Puerto Rico-Fajardo",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-Bayamon",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-Barranquitas",,,,,,,,,,,,,,
"Herzing University-Kenosha",,,,,,,,,,,,,,
"Herzing University-Brookfield",,,,,,,,,,,,,,
"Herzing University-Birmingham",,,,,,,,,,,,,,
"Herzing University-Atlanta",,,,,,,,,,,,,,
"Herzing University-Akron",,,,,,,,,,,,,,
"Heritage Valley Kennedy School of Nursing",,,,,,,,,,,,,,
"Henrico County-Saint Marys Hospital School of Practical Nursing",,,,,,,,,,,,,,
"Hellenic College-Holy Cross Greek Orthodox School of Theology",,,,21,,,,,,,,,,
"Herzing University-Madison",,,,,,,,,,,,,,
"Healthcare Training Institute",,,,,,,,,,,,,,
"HCI College",,,,,,,,,,,,,,
"Harrison College-Morrisville",,,,,,,,,,,,,,
"Harrison College-Indianapolis",,,,,,,,,,,,,,
"Harrison College-Grove City",,,,,,,,,,,,,,
"Harmony Health Care Institute",,,,,,,,,,,,,,
"Hannah E Mullins School of Practical Nursing",,,,,,,,,,,,,,
"Hampton University",,,,20,19,20,20,18,18,21,,17,17,17
"Hampshire College",,,,,,,,,,25,25,26,26,26
"Health Works Institute",,,,,,,,,,,,,,
"Lake Forest College",,,,,,,,23,,,,,24,24
"Herzing University-Minneapolis",,,,,,,,,,,,,,
"Herzing University-Orlando",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-Arecibo",,,,,,,,,,,,,,
"Inter American University of Puerto Rico-Aguadilla",,,,,,,,,,,,,,
"Instituto Tecnologico de Puerto Rico-Recinto de San Juan",,,,,,,,,,,,,,
"Instituto Tecnologico de Puerto Rico-Recinto de Ponce",,,,,,,,,,,,,,
"Instituto Tecnologico de Puerto Rico-Recinto de Manati",,,,,,,,,,,,,,
"Institute of American Indian and Alaska Native Culture and Arts Development",,,,,,,,,,,,15,16,
"Illinois College",,,,,,,,19,,,21,21,21,21
"Hussian College-Philadelphia",,,,,,,,,,,,,,
"Herzing University-New Orleans",,,,,,,,,,,,,,
"Hussian College-Los Angeles",,,,,,,,,,,,,,
"Hood College",,,,,,,,18,20,20,20,18,20,20
"Hondros College of Nursing",,,,,,,,,,,,,,
"Holy Name Medical Center-Sister Claire Tynan School of Nursing",,,,,,,,,,,,,,
"Hodges University",,,,,,,,,,,,,,
"Hillyard Technical Center",,,,,,,,,,,,,,
"Hilbert College",,,,,,,,,,,,,,18
"Hickey College",,,,,,,,,,,,,,
"Herzing University-Toledo",,,,,,,,,,,,,,
"Hult International Business School",,,,,,,,,,,,,,
"Hallmark University",,,,,,,,,,,,,,
"Landmark College",,,,,,,,,18,,,,,
"Laurel Business Institute",,,,,,,,,,,,,,
"Mitchell College",,,,,,,,,,,,,,
"Mirrer Yeshiva Cent Institute",,,,,,,,,,,,,,
"Minerva University",,,,,,,,,,,,,,
"Mineral County Vocational Technical Center",,,,,,,,,,,,,,
"Milwaukee Institute of Art & Design",,,,,,,,,,,,,,
"Milwaukee Career College",,,,,,,,,,,,,,
"Millersville University of Pennsylvania",,,,,19,19,19,19,19,19,,,,
"Mifflin County Academy of Science and Technology",,,,,,,,,,,,,,
"Midwives College of Utah",,,,,,,,,,,,,,
"Midwest Institute",,,,,,,,,,,,,,
"Midstate College",,,,,,,,,,,,,,
"MIAT College of Technology",,,,,,,,,,,,,,
"Miami Regional University",,,,,,,,,,,,,,
"Miami Media School",,,,,,,,,,,,,,
"Metropolitan State University",,,,,,,,,,,,,,
"Metropolitan College of New York",,,,,,,,,,,,,,
"Messenger College",,,,,,,,,,,,,,
"Modern Hairstyling Institute-Arecibo",,,,,,,,,,,,,,
"Modern Hairstyling Institute-Bayamon",,,,,,,,,,,,,,
"Modern Hairstyling Institute-Carolina",,,,,,,,,,,,,,
"Monongalia County Technical Education Center",,,,,,,,,,,,,,
"Naropa University",,,,,,,,,,,,,,20
"Musicians Institute",,,,,,,,,,17,20,,,
"Multnomah University",,,,,,,18,19,17,17,19,19,18,18
"MTI College",,,,,,,,,,,,,,
"Mt Sierra College",,,,,,,,,,,,,,
"Mount Ida College",,,,,,16,16,15,16,15,15,16,,
"Mount Angel Seminary",,,,,,,,,,,,,,
"MotoRing Technical Training Institute",,,,,,,,,,,,,,
"Mesivtha Tifereth Jerusalem of America",,,,,,,,,,,,,,
"Motoring Technical Training Institute",,,,,,,,,,,,,,
"Morris County Vocational School District",,,,,,,,,,,,,,
"Moore Norman Technology Center",,,,,,,,,,,,,,
"Monty Tech",,,,,,,,,,,,,,
"Montessori Education Center of the Rockies",,,,,,,,,,,,,,
"Monteclaro Escuela de Hoteleria y Artes Culinarias",,,,,,,,,,,,,,
"Montclair State University",,,,,,,,,,,,,,
"Montana State University-Northern",,,,,16,16,16,17,17,17,17,17,17,17
"Monroe College",,,,,,,,,,,,,,
"Morthland College",,,,30,17,17,,,,,,,,
"Mesivta Torah Vodaath Rabbinical Seminary",,,,,,,,,,,,,,
"Mesivta of Eastern Parkway-Yeshiva Zichron Meilech",,,,,,,,,,,,,,
"Merrimack College",,,,,,,,,,,,,18,19
"Maine College of Art & Design",,,,,,,,,,,16,20,18,17
"Maharishi International University",,,,,,,,,,,,,,
"Magdalen College",,,,,,,,,,,,,,14
"Madison Oneida BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Machzikei Hadath Rabbinical College",,,,,,,,,,,,,,
"Lytles Redwood Empire Beauty College",,,,,,,,,,,,,,
"Lyndon State College",,,,15,15,16,15,18,15,17,16,16,,
"Lutheran School of Nursing",,,,,19,,,,16,20,15,16,16,
"Maine College of Health Professions",,,,,,,,,,,,,,
"Luther Rice College & Seminary",,,,,,,,,,,,,,
"Louisiana Culinary Institute",,,,,,,,,,,,,,
"Longy School of Music of Bard College",,,,,,,,,,,,,,
"Long Island Business Institute",,,,,,,,,,,,,,
"Living Arts College",,,,,,,,,,,,,,
"LIU Brooklyn",,,,19,,,,17,17,16,16,,,
"Lex La-Ray Technical Center",,,,,,,,,,,,,,
"Laurel Technical Institute",,,,,,,,,,,,,,
"Laurel Technical Institute",,,,,,,,,,,,,,
"Loyola University Maryland",,,,,,,,25,24,25,24,24,24,24
"Lane College",,,,14,14,14,14,13,14,14,16,16,14,16
"Manchester University",,,,,18,19,19,19,19,19,19,19,19,20
"Manhattanville College",,,,,,,,,21,,22,21,20,20
"Merkaz Bnos-Business School",,,,,,,,,,,,,,
"Mercyhurst University",,,,,,,,21,21,21,21,20,20,20
"Mercy Hospital School of Practical Nursing-Plantation General Hospital",,,,,,,,,,,,,,
"Memphis College of Art",,,,19,18,,19,19,19,19,19,19,21,18
"Medical Career & Technical College",,,,,,,,,,,,,,
"Med-Life Institute-Lauderdale Lakes",,,,,,,,,,,,,,
"Med-Life Institute-Kissimmee",,,,,,,,,,,,,,
"Mechon L'hoyroa",,,,,,,,,,,,,,
"Manhattan School of Music",,,,,,,,,,,,,,
"MDT College of Health Sciences",,,,,,,,,,,,,,
"Massachusetts College of Art and Design",,,,,21,21,22,22,21,20,20,21,,
"Marygrove College",,,,16,15,14,14,14,14,14,15,15,15,14
"Martinsburg College",,,,,,,,,,,,,,
"Marlboro College",,,,,,,,,,,,,24,24
"Marist College",,,,,,,,,,,23,23,22,20
"Marion S Whelan School of Nursing of Geneva General Hospital",,,,,,,,,,,,,,
"Maria College of Albany",,,,,,,,17,,,18,,,16
"Manna University",,,,,,,,,,,,,,
"Mauna Loa Helicopters",,,,,,,,,,,,,,
"Gustavus Adolphus College",,,,,,,,24,26,25,24,24,27,23
"Green Country Technology Center",,,,,,,,,,,,,,
"Greater Lowell Technical School",,,,,,,,,,,,,,
"Concorde Career College-North Hollywood",,,,,,,,,,,,,,
"Concorde Career College-Memphis",,,,,,,,,,,,,,
"Concorde Career College-Kansas City",,,,,,,,,,,,,,
"Concorde Career College-Grand Prairie",,,,,,,,,,,,,,
"Concorde Career College-Garden Grove",,,,,,,,,,,,,,
"Concorde Career College-Dallas",,,,,,,,,,,,,,
"Concorde Career College-Aurora",,,,,,,,,,,,,,
"Compass College of Film and Media",,,,18,,,,,17,,,,,
"Columbia College Hollywood",,,,,,,,,,,,,,
"Columbia College Chicago",,,,,,,,,,,,,,
"Columbia Area Career Center",,,,,,,,,,,,,,
"Colorado College",,,,,,,,27,28,,28,28,27,27
"Colorado Academy of Veterinary Technology",,,,,,,,,,,,,,
"College of the Atlantic",,,,,,,,,,,,,,
"College of St Joseph",,,,16,,,,16,14,16,17,15,17,19
"College of Saint Mary",,,,,,,,20,19,19,18,18,17,18
"College of Micronesia-FSM",,,,,,,,,,,,,,
"Concorde Career College-Portland",,,,,,,,,,,,,,
"Concorde Career College-San Antonio",,,,,,,,,,,,,,
"Concorde Career College-San Bernardino",,,,,,,,,,,,,,
"Concorde Career College-San Diego",,,,,,,,,,,,,,
"Delaware College of Art and Design",,,,,,,,,,,,,,
"Davis College",,,,,,,15,15,18,20,,,,
"Davenport University",,,,,,,,,,,,,,
"Daemen University",,,,,,,,,,,20,20,20,19
"Curtis Institute of Music",,,,,,,,,,,,,,
"CUNY York College",,,,,,,,,,,,,,
"CUNY New York City College of Technology",,,,,,,,,,,,,,
"CUNY Lehman College",,,,,,,,,,,,,,
"Colegio Universitario de San Juan",,,,,,,,,,,,,,
"Culinary Institute of America",,,,,,,,,,,,,,
"Cornish College of the Arts",,,,,,,,,,,,,,
"Conservatory of Music of Puerto Rico",,,,,,,,,,,,,,
"Concordia University-Saint Paul",,,,,,,,18,,,18,18,18,18
"Concorde Career Institute-Tampa",,,,,,,,,,,,,,
"Concorde Career Institute-Orlando",,,,,,,,,,,,,,
"Concorde Career Institute-Miramar",,,,,,,,,,,,,,
"Concorde Career Institute-Jacksonville",,,,,,,,,,,,,,
"Concorde Career College-Southaven",,,,,,,,,,,,,,
"Cox College",,,,,,,,13,,,,19,,
"Colby-Sawyer College",,,,,,,,,,,,,18,17
"Clinton Technical School",,,,,,,,,,,,,,
"Clinton Essex Warren Washington BOCES",,,,,,,,,,,,,,
"Chamberlain University-Florida",,,,,,,,,,,,,,
"Chamberlain University-California",,,,,,,,,,,,,,
"Chamberlain University-Arizona",,,,,,,,,,,,,,
"Central Yeshiva Tomchei Tmimim Lubavitz",,,,,,,,,,,,,,
"Central Yeshiva Beth Joseph",,,,,,,,,,,,,,
"Central Susquehanna Intermediate Unit LPN Career",,,,,,,,,,,,,,
"Central Penn College",,,,,13,,,,,,,,,
"Central Methodist University-College of Graduate and Extended Studies",,,,,,,,,,,,,,
"Chamberlain University-Georgia",,,,,,,,,,,,,,
"Central Christian College of the Bible",,,,16,18,16,,,,,17,18,,
"Center for Natural Wellness School of Massage Therapy",,,,,,,,,,,,,,
"Center for Instruction - Technology & Innovation",,,,,,,,,,,,,,
"Cayuga Onondaga BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Cass Career Center",,,,,,,,,,,,,,
"Casal Institute of Nevada",,,,,,,,,,,,,,
"Casa Loma College-Van Nuys",,,,,,,,,,,,,,
"Carrington College-Tucson",,,,,,,,,,,,,,
"Carrington College-Stockton",,,,,,,,,,,,,,
"Central Christian College of Kansas",,,,17,17,,18,18,,,18,18,18,18
"Delaware County Technical School-Practical Nursing Program",,,,,,,,,,,,,,
"Chamberlain University-Illinois",,,,,,,,,,,,,,
"Chamberlain University-Michigan",,,,,,,,,,,,,,
"Cleveland University-Kansas City",,,,,,17,21,,,19,,,,
"Cleveland Institute of Music",,,,,,,,,,,,,,
"Clayton  State University",,,,,,,18,18,18,18,18,,18,18
"Clarks Summit University",,,,,,,17,20,18,20,19,17,20,19
"Clarion County Career Center Practical Nursing Program",,,,,,,,,,,,,,
"Citizens School of Nursing",,,,,,,,,,,,,,
"Circle in the Square Theatre School",,,,,,,,,,,,,,
"Christian Culinary Academy",,,,,,,,,,,,,,
"Chamberlain University-Indiana",,,,,,,,,,,,,,
"Chicago School of Professional Psychology-College of Nursing",,,,,,,,,,,,,,
"Chatham University",,,,,,,,,,,,,,
"Chamberlain University-Virginia",,,,,,,,,,,,,,
"Chamberlain University-Texas",,,,,,,,,,,,,,
"Chamberlain University-Ohio",,,,,,,,,,,,,,
"Chamberlain University-North Carolina",,,,,,,,,,,,,,
"Chamberlain University-New Jersey",,,,,,,,,,,,,,
"Chamberlain University-Nevada",,,,,,,,,,,,,,
"Chamberlain University-Missouri",,,,,,,,,,,,,,
"Chester County Intermediate Unit",,,,,,,,,,,,,,
"DePaul University",,,,,,,,23,22,23,21,,21,22
"Design Institute of San Diego",,,,,,,,,,,,,,
"DeVry College of New York",,,,,,,,,,,,,,
"Flint Institute of Barbering Inc",,,,,,,,,,,,,,
"Flashpoint Chicago A Campus of Columbia College Hollywood",,,,,,,,,,,,,,
"Five Towns College",,,,,,,,19,18,17,18,,,
"Finger Lakes Health College of Nursing & Health Sciences",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-San Francisco",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-San Diego",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-Orange County",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-Los Angeles",,,,,,,,,,,,,,
"Florida International Training Institute",,,,,,,,,,,,,,
"Fashion Institute of Technology",,,,,,,,,,,,,,
"Faith Theological Seminary",,,,,,,,,,,,,,
"Fairleigh Dickinson University-Metropolitan Campus",,,,20,17,18,17,,,,,,,
"Fairleigh Dickinson University-Florham Campus",,,,21,19,20,21,,,,,,,
"Fairfax University of America",,,,,,,,,,,,,,
"Everglades University",,,,,,,,,,,,,,
"Evangel University",,,,19,20,20,20,19,18,19,20,20,20,18
"Estelle Medical Academy",,,,,,,,,,,,,,
"Escuela de Artes Plasticas y Diseno de Puerto Rico",,,,,,,,,,,,,,
"Family of Faith Christian University",,,,,,,,,,,,,,
"Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Florida Memorial University",,,,,,,,,,,,,,
"Fosbre Academy of Hair Design",,,,,,,,,,,,,,
"Great Lakes Institute of Technology",,,,,,,,,,,,,,
"Grand River Technical School",,,,,,,,,,,,,,
"Grand Canyon University",,,,,,,,,,,,,,
"Graham Hospital School of Nursing",,,,,,,19,,,,,,18,18
"Grace University",,,,18,17,19,20,19,18,19,20,8,19,19
"Grace Mission University",,,,,,,,,,,,,,
"Grace Christian University",,,,,,,,,,,18,18,19,17
"Goldey-Beacom College",,,,,,,,,,,,,,
"Fort Hays State University",,,,,,,,18,18,18,18,,19,18
"Golden Gate University",,,,,,,,,,,,,,
"Gnomon",,,,,,,,,,,,,,
"Gettysburg College",,,,,,,,27,26,27,27,27,,27
"Georgia State University-Perimeter College",,,,,,,,,,,,,,
"Gemini School of Visual Arts & Communication",,,,,,,,,,,,,,
"Geisinger-Lewistown Hospital School of Nursing",,,,,,,,,,,,,,
"Galaxy Medical College",,,,,,,,,,,,,,
"Franklin and Marshall College",,,,,,,,,,,,,,
"Fox College",,,,,,,,,,,,,,
"Goddard College",,,,,,,,,,,,,,
"Carrington College-San Leandro Campus",,,,,,,,,,,,,,
"Erie 1 BOCES",,,,,,,,,,,,,,
"Embry-Riddle Aeronautical University-Worldwide",,,,,,,,,,,,,,
"Dickinson College",,,,,,,,27,27,27,26,26,27,26
"DeVry University-Virginia",,,,,,,,,,,,,,
"DeVry University-Texas",,,,,,,,,,,,,,
"DeVry University-Tennessee",,,,,,,,,,,,,,
"DeVry University-Pennsylvania",,,,,,,,,,,,,,
"DeVry University-Oklahoma",,,,,,,,,,,,,,
"DeVry University-Ohio",,,,,,,,,,,,,,
"DeVry University-North Carolina",,,,,,,,,,,,,,
"Digital Media Institute at InterTech",,,,,,,,,,,,,,
"DeVry University-New Jersey",,,,,,,,,,,,,,
"DeVry University-Missouri",,,,,,,,,,,,,,
"DeVry University-Indiana",,,,,,,,,,,,,,
"DeVry University-Illinois",,,,,,,,,,,,,,
"DeVry University-Georgia",,,,,,,,,,,,,,
"DeVry University-Florida",,,,,,,,,,,,,,
"DeVry University-Colorado",,,,,,,,,,,,,,
"DeVry University-California",,,,,,,,,,,,,,
"DeVry University-Arizona",,,,,,,,,,,,,,
"DeVry University-Nevada",,,,,,,,,,,,,,
"Endicott College",,,,,,,,21,21,23,20,21,20,20
"Diman Regional Technical Institute",,,,,,,,,,,,,,
"DLP Conemaugh Memorial Medical Center",,,,,,,,,,,,2,2,2
"Elizabethtown College School of Continuing and Professional Studies",,,,,,,,,,,,,,
"Elim Bible Institute and College",,,,,,,,,,,,,,
"EDP University of Puerto Rico Inc-San Juan",,,,,,,,,,,,,,
"EDIC College",,,,,,,,,,,,,,
"ECPI University",,,,,,,,,,,,,,
"Ecclesia College",,,,,6,17,,,,,,,,
